Datetime,Source,Open,High,Low,Close,Volume
2026-02-02 15:37:42.847000+00:00,seekingalpha.selenium,0.31,0.31,0.31,0.31,0
2026-02-02 15:37:44.158084+00:00,nasdaq.selenium,1.0,1.0,1.0,1.0,0
2026-02-02 15:38:53.466208+00:00,seekingalpha.selenium,0.31,0.31,0.31,0.31,0
2026-02-02 15:38:54.784389+00:00,nasdaq.selenium,1.0,1.0,1.0,1.0,0
